narration,category
NEFT-BAJAJ FINSERV EMI-38058104,Loan EMI
UPI-P2A-361347406943-MCAFFEINE,Personal Care
AUTO DEBIT ATM HDFC,Cash Withdrawal
IMPS/376602421067/GLOWROAD,Shopping
ECS-SALARY CREDIT,Income
UPI/POORVIKA MOBILES/402027262356,Electronics
BILLDESK-BOUNCE-633386,Transport
UPI-P2A-593331280777-APPLE MUSIC,Entertainment
ACH DR GREAT LEARNING,Education
UPI/DR/479157108338/LENOVO,Electronics
UPI/PAYTM MALL/936351163882,Shopping
UPI PAYMENT SBI LIFE,Insurance
BILLDESK-DELHI METRO RAIL-431938,Transport
RTGS/187809681533/HOUSE RENT PAYMENT,Rent
UPI/OUT/192772625346/nilgiris@kotak/Payment,Groceries
UPI PAYMENT TATA AIA LIFE,Insurance
RTGS/972719779923/TIMES PRIME,Subscriptions
RTGS/954700735808/BLACKBERRYS,Shopping
ACH DR SPENCERS RETAIL,Groceries
BILLPAY VIDEOCON D2H,Utilities
POS 438622 ONEPLUS,Electronics
UPI/OUT/971932898060/nestaway@okhdfcbank/Payment,Rent
UPI-DR-191794316253-ALLEN SOLLY,Shopping
IMPS-BIOTIQUE-75681123,Personal Care
UPI/EXTRAMARKS/485626362513,Education
NACH-SAVINGS ACCOUNT INTEREST-22543209,Interest Income
UPI/DR/965673649866/BLINKIT PASS,Subscriptions
RTGS/952995774681/NAYARA ENERGY,Fuel
RTGS/444332713753/CULT FIT,Health
UPI-DR-914853786504-MXPLAYER,Entertainment
UPI/DR/338383097708/SBI HOME LOAN EMI,Loan EMI
NEFT/749071039394/AXIS BANK EMI,Loan EMI
NEFT-DREAM11-99825570,Entertainment
NACH-MUMBAI METRO-40647972,Transport
POS PURCHASE MAGICBRICKS,Rent
IMPS/749784023872/KSRTC,Transport
AUTO DEBIT BSNL BROADBAND,Utilities
ACH DR BOUNCE CHARGES,Bank Charges
UPI PAYMENT UDUPI PALACE,Food & Dining
UPI/DR/387265870724/DMART,Groceries
UPI PAYMENT LEVI STRAUSS,Shopping
UPI-DR-924624754806-MICROSOFT,Electronics
POS PURCHASE CASTROL,Fuel
UPI/DR/952830463604/UDEMY BUSINESS,Subscriptions
NACH-BHARAT PETROLEUM-39414614,Fuel
NACH-MAKEMYTRIP-40836432,Travel
RTGS SALARY CREDIT ACCENTURE INDIA,Income
BILLDESK-FORTIS HEALTHCARE-282275,Health
AUTO DEBIT PPFAS MF,Investment
UPI/SELF TRANSFER/269742636890,Transfer
AUTO DEBIT RAPIDO,Transport
EMI DEBIT ZEST MONEY EMI,Loan EMI
POS/998397/HINDUSTAN PETROLEUM,Fuel
ACH DR PATANJALI AYURVED,Personal Care
NEFT/908880092809/OLA CABS,Transport
POS/043502/BIOTIQUE,Personal Care
ACH DR CAPGEMINI,Income
UPI/OUT/114982806304/allensol@ybl/Payment,Shopping
UPI/ATM-NFS WITHDRAWAL/824047963239,Cash Withdrawal
IMPS-RELIANCE SMART-62162144,Groceries
AUTO DEBIT HP PETROL PUMP,Fuel
UPI/DU FEES PAYMENT,Education
UPI-DR-896400677362-CASH WITHDRAWAL BRANCH,Cash Withdrawal
UPI-P2A-739873813489-HERITAGE FRESH,Groceries
AUTO DEBIT VISHAL MEGA MART,Groceries
UPI/DR/205813426610/CHAI POINT,Food & Dining
UPI/DR/593279463133/GOLD LOAN EMI,Loan EMI
UPI-DR-094349828545-VISHAL MEGA MART,Groceries
UPI/LOCKER RENT CHARGES/541633354008,Bank Charges
POS PURCHASE CHAI POINT,Food & Dining
BILLDESK-MXPLAYER-371853,Entertainment
POS/721028/MIRAE ASSET MF,Investment
UPI/OUT/939780887497/credpayt@okaxis/Payment,Transfer
UPI/SPOTIFY PREMIUM,Subscriptions
AUTO DEBIT AMAZON FRESH,Groceries
IMPS/725867660538/HDFC ERGO,Insurance
NEFT-MANIPAL HOSPITALS-43425453,Health
NEFT-KOTAK SAVINGS INTEREST-42775020,Interest Income
NACH-BPCL PUMP-84913900,Fuel
UPI/VLCC/407804307729,Personal Care
UPI/ACCENTURE INDIA,Income
IMPS/088956347046/NEFT TRANSFER,Transfer
MANDATE-GULF OIL,Fuel
AUTO DEBIT HDFC MUTUAL FUND,Investment
UPI/INCOME TAX PAYMENT,Tax
ECS-REEBOK,Shopping
POS PURCHASE KOTAK MAHINDRA EMI,Loan EMI
UPI-P2A-617790526690-DOCSAPP,Health
NEFT-NSC INTEREST-80161604,Interest Income
UPI/GOIBIBO/242084410413,Travel
AUTO DEBIT CRED PAY TRANSFER,Transfer
UPI/KSRTC/265992295200,Transport
RTGS/203188650375/KENDRIYA VIDYALAYA FEES,Education
EMI/BAJAJ FINSERV EMI/97675451,Loan EMI
UPI-P2A-700558640676-ONEPLUS,Electronics
RTGS/367868991841/MANIPAL HOSPITALS,Health
UPI/GAANA,Entertainment
RTGS SALARY CREDIT COGNIZANT,Income
UPI-DR-328664681869-DSP MUTUAL FUND,Investment
POS 879104 NSC INTEREST,Interest Income
POS/532211/ANGEL ONE,Investment
UPI/OUT/754798663992/zestmone@axl/Payment,Loan EMI
NEFT/258480388816/SRL DIAGNOSTICS,Health
UPI/RD INTEREST CREDIT/593747732785,Interest Income
POS 723422 SPAR HYPERMARKET,Groceries
UPI-DR-158066053073-SOTC TRAVEL,Travel
SIP/ZERODHA/43724618,Investment
POS/540097/SOCIETY MAINTENANCE,Rent
ACH DR VISHAL MEGA MART,Groceries
POS 242587 KOTAK SAVINGS INTEREST,Interest Income
UPI/OUT/924113244880/tommyhil@oksbi/Payment,Shopping
IMPS-LENOVO-22963336,Electronics
POS 674583 MCAFFEINE,Personal Care
IMPS-TATA CONSULTANCY-72552630,Income
POS 251967 EASYDAY,Groceries
ECS-ATM ICICI,Cash Withdrawal
UPI/OUT/757181894146/hindusta@ybl/Payment,Fuel
RTGS/405039525313/FRANKLIN TEMPLETON,Investment
POS 238302 IOCL OUTLET,Fuel
UPI/MERU CABS,Transport
IMPS/422894872503/ADVANCE TAX,Tax
UPI PAYMENT STARBUCKS,Food & Dining
EMI DEBIT FULLERTON INDIA EMI,Loan EMI
ECS-WYNK MUSIC,Entertainment
NEFT/370967028259/DEBIT CARD ANNUAL FEE,Bank Charges
POS 098360 NEFT CHARGES,Bank Charges
ECS-JBL INDIA,Electronics
BILLDESK-VLCC-287106,Personal Care
UPI-P2A-130187580766-DU FEES PAYMENT,Education
INSURANCE PREMIUM NEW INDIA ASSURANCE,Insurance
BILLDESK-RELIANCE DIGITAL-234715,Shopping
POS PURCHASE BIGBASKET,Groceries
IMPS/884122532048/WYNK MUSIC,Entertainment
ECS-MSEDCL,Utilities
UPI/DIGIT INSURANCE/132076367298,Insurance
POS/778184/CRED PAY TRANSFER,Transfer
NACH-CHALO BUS-45392406,Transport
NACH-MAMAEARTH-49818456,Personal Care
NEFT/974081687653/JIO FIBER,Utilities
UPI/DR/007186533333/SHELL INDIA,Fuel
IMPS-RELIANCE PETROL-12330702,Fuel
POS 486227 NESTAWAY,Rent
UPI-P2A-617790526690-DOCSAPP,Health
UPI/COURSERA/589066871014,Education
ACH DR FISDOM,Investment
ACH-EMI-CREDITAS EMI-91182733,Loan EMI
MANDATE-HIMALAYA DRUG,Personal Care
UPI-DR-824637975194-NATIONAL INSURANCE,Insurance
BILLDESK-PAYTM MONEY-054948,Investment
MANDATE-HDFC LIFE,Insurance
POS 899546 ETMONEY,Investment
IMPS-GST PAYMENT-64783311,Tax
POS/552804/NON MAINTENANCE CHARGE,Bank Charges
RTGS/880402610089/SELF TRANSFER,Transfer
NEFT/121962578373/MICROSOFT 365,Subscriptions
IMPS-SIMPL EMI-45322544,Loan EMI
ACH DR ATM PNB,Cash Withdrawal
PAYROLL RELIANCE INDUSTRIES,Income
BILLDESK-BHARAT PETROLEUM-284225,Fuel
ACH DR SUN DIRECT,Utilities
UPI-P2A-381117032975-SELF TRANSFER,Transfer
UPI/DR/963822055621/AUTO RICKSHAW UPI,Transport
POS PURCHASE PATANJALI AYURVED,Personal Care
UPI/HOMIGO/453605451260,Rent
POS/616364/UPSTOX,Investment
NEFT-PHILIPS-69556512,Electronics
POS 244620 FD MATURITY CREDIT,Interest Income
UPI-DR-833670638759-HAVELLS,Electronics
UPI/AIRTEL BROADBAND/251109788447,Utilities
UPI-DR-350344222312-MONEYVIEW EMI,Loan EMI
NEFT/118507607355/ATM AXIS,Cash Withdrawal
POS/364526/MCDONALDS,Food & Dining
NEFT-SBI LIFE-78561581,Insurance
POS 269650 LAZYPAY EMI,Loan EMI
POS PURCHASE DEBIT CARD ANNUAL FEE,Bank Charges
UPI-DR-259607585564-DELHI PROPERTY TAX,Tax
POS/719611/FAMILY TRANSFER,Transfer
RTGS/703466937020/HDFC BANK,Income
NEFT/851825697271/AKASA AIR,Travel
UPI/MAGICBRICKS/811256221919,Rent
UPI/SKECHERS,Shopping
UPI-DR-354806003095-INOX LEISURE,Entertainment
AUTO DEBIT MAGICBRICKS,Rent
UPI/AKASA AIR/060283180483,Travel
BILLDESK-FI TRANSFER-601123,Transfer
NACH-ATM CASH WITHDRAWAL-27201472,Cash Withdrawal
ACH DR NAYARA ENERGY,Fuel
AUTO DEBIT FAMILY TRANSFER,Transfer
UPI/DR/193763116886/AMAZON PRIME,Subscriptions
NACH-CHEQUE BOOK CHARGES-33504757,Bank Charges
NEFT-VIT UNIVERSITY-54384963,Education
POS PURCHASE STANZALIVING,Rent
UPI/DR/575309238360/CARNIVAL CINEMAS,Entertainment
IMPS/459023304521/BASKIN ROBBINS,Food & Dining
POS PURCHASE MAX FASHION,Shopping
UPI-DR-974829250677-LOCKER RENT CHARGES,Bank Charges
MANDATE-GST PAYMENT,Tax
ECS-CHEQUE BOOK CHARGES,Bank Charges
UPI PAYMENT CASH COUNTER WITHDRAWAL,Cash Withdrawal
MANDATE-CHEQUE BOOK CHARGES,Bank Charges
NEFT-H&M-11510197,Shopping
NEFT-ANYTIME FITNESS-59754019,Health
POS/411955/SHOPPERS STOP,Shopping
POS/651800/ATM PNB,Cash Withdrawal
AUTO DEBIT POST OFFICE INTEREST,Interest Income
POS 753551 SWIGGY ONE,Subscriptions
POS/217441/RTGS CHARGES,Bank Charges
SUBSCRIPTION NETFLIX INDIA,Subscriptions
NEFT/161318367632/ONEPLUS,Electronics
RTGS SALARY CREDIT RELIANCE INDUSTRIES,Income
NEFT-APOLLO PHARMACY-80623956,Health
ACH DR H&M,Shopping
BILLDESK-HCL TECHNOLOGIES-697598,Income
ECS-H&M,Shopping
POS 076700 VEHICLE TAX,Tax
RTGS/505669697086/MCGM PROPERTY TAX,Tax
MANDATE-NYKAA,Personal Care
UPI/OUT/214686452942/reliance@axl/Payment,Fuel
INSURANCE PREMIUM ACKO INSURANCE,Insurance
UPI/IOC FUEL STATION/780775281499,Fuel
IMPS-GREEN TRENDS-33290793,Personal Care
IMPS-SRI CHAITANYA-67582804,Education
AUTO DEBIT JBL INDIA,Electronics
IMPS-ICICI PRUDENTIAL MF-26684349,Investment
POS 142540 METRO CASH AND CARRY,Groceries
UPI-DR-645165228692-MEDPLUS,Health
UPI/UPGRAD/321073691957,Education
AUTO DEBIT AIR INDIA,Travel
UPI/PROPERTY TAX/025840358607,Tax
RTGS/705162909754/IOC FUEL STATION,Fuel
MANDATE-PURPLLE,Personal Care
BILLDESK-HOMIGO-310631,Rent
IMPS/563020204750/FAASOS,Food & Dining
ECS-SWIGGY INSTAMART,Groceries
MANDATE-NEFT CHARGES,Bank Charges
UPI/OUT/871341747682/ibmindia@kotak/Payment,Income
NEFT/461963513906/LATE PAYMENT FEE,Bank Charges
UPI/OUT/693723528229/sotctrav@kotak/Payment,Travel
UPI-DR-468352657466-PPF INTEREST CREDIT,Interest Income
UPI PAYMENT IOC FUEL STATION,Fuel
ECS-SAGAR RATNA,Food & Dining
AUTO DEBIT COLIVE,Rent
AUTO DEBIT GST PAYMENT,Tax
UPI/DR/330364202050/KISSHT EMI,Loan EMI
MANDATE-BPCL PUMP,Fuel
IMPS/484559724119/ICICI BANK EMI,Loan EMI
RTGS/389920368387/MPHASIS,Income
POS 268768 NATURALS SALON,Personal Care
AUTO DEBIT CAR LOAN EMI,Loan EMI
BILLDESK-ATM-NFS WITHDRAWAL-850038,Cash Withdrawal
ACH DR CARNIVAL CINEMAS,Entertainment
IMPS/361207441943/RAPIDO BIKE,Transport
POS/718918/TOMMY HILFIGER,Shopping
UPI/OUT/210564249542/bajajfin@paytm/Payment,Loan EMI
POS PURCHASE MUTUAL FUND DIVIDEND,Interest Income
IMPS/700552466667/MOTILAL OSWAL MF,Investment
IMPS/762731062649/BEST BUSES,Transport
UPI/PLAYSTATION STORE/540198883498,Entertainment
MANDATE-ZEPTO,Groceries
POS 293495 DELHI METRO RAIL,Transport
POS PURCHASE H&M,Shopping
NEFT/949442226278/DTC BUSES,Transport
UPI/OUT/871341747682/ibmindia@kotak/Payment,Income
NACH-MPHASIS-22738669,Income
IMPS-CLEARTRIP-77984960,Travel
NEFT-SPOTIFY-80136242,Entertainment
RTGS/067606358424/NOTION PRO,Subscriptions
ECS-INCOME TAX REFUND,Tax
BILLDESK-LENOVO-865937,Electronics
MANDATE-FD MATURITY CREDIT,Interest Income
IMPS-CONSULTING FEES-57700365,Income
BILLDESK-SALARY CREDIT-414417,Income
NEFT SALARY CREDIT WIPRO LTD,Income
ATM-NFS CASH WITHDRAWAL,Cash Withdrawal
UPI/ZEPTO/303404694079,Groceries
UPI/RAPIDO BIKE,Transport
POS/703758/PROFESSIONAL TAX,Tax
POS/917081/HOMIGO,Rent
NACH-YES BANK EMI-20128787,Loan EMI
UPI-P2A-491888778502-SONY LIV,Entertainment
NEFT-LOTUS HERBALS-80540071,Personal Care
BILLDESK-APARTMENT MAINTENANCE-368570,Rent
ECS-SUN DIRECT,Utilities
UPI-DR-357963878918-PROPERTY TAX,Tax
POS/585026/BOUNCE CHARGES,Bank Charges
ECS-DOCSAPP,Health
POS 097915 GOIBIBO,Travel
UPI-DR-737185322358-DISNEY HOTSTAR PREMIUM,Subscriptions
BILLDESK-ACKO INSURANCE-246521,Insurance
POS/616580/VLCC,Personal Care
UPI/FIRSTCRY/454691354295,Shopping
BILLDESK-OLA CABS-126656,Transport
UPI/OUT/771503901184/impstran@okhdfcbank/Payment,Transfer
SIP DEBIT AXIS MF,Investment
MANDATE-BOAT LIFESTYLE,Electronics
IMPS/333726767717/SALARY CREDIT,Income
BILLDESK-SELF ASSESSMENT TAX-945097,Tax
AUTO DEBIT ICICI LOMBARD,Insurance
IMPS/479560268693/NEW INDIA ASSURANCE,Insurance
POS 063782 JUPITER TRANSFER,Transfer
UPI-DR-420943888717-COLIVE,Rent
UPI/OUT/160399557124/pvrcinem@oksbi/Payment,Entertainment
NSDL TIN 89217436,Tax
UPI/ACKO INSURANCE,Insurance
POS PURCHASE PNB FD INTEREST,Interest Income
POS PURCHASE HINDUSTAN PETROLEUM,Fuel
AUTO DEBIT GULF OIL,Fuel
IMPS-ICICI PRUDENTIAL LIFE-30189671,Insurance
UPI/DR/142199229028/MICRO ATM WITHDRAWAL,Cash Withdrawal
AUTO DEBIT PHARMEASY,Health
AUTO DEBIT UBER,Transport
UPI/OUT/971339474201/zepto@kotak/Payment,Groceries
ACH DR INOX LEISURE,Entertainment
UPI PAYMENT IMPS TRANSFER,Transfer
AUTO DEBIT YOUTUBE PREMIUM,Subscriptions
UPI-P2A-814455563805-UTI MF,Investment
UPI/LOTUS HERBALS/448318169673,Personal Care
UPI PAYMENT YATRA,Travel
POS PURCHASE INDUSIND BANK EMI,Loan EMI
MANDATE-MCDONALDS,Food & Dining
AUTO DEBIT LIQUID FUND DIVIDEND,Interest Income
ACH-EMI-FULLERTON INDIA EMI-01591060,Loan EMI
UPI/OUT/216483794841/heritage@oksbi/Payment,Groceries
UPI/DU FEES PAYMENT,Education
ACH DR PNB METLIFE,Insurance
NEFT-MAX LIFE-24705646,Insurance
IMPS-ZARA-98955932,Shopping
UPI-P2A-653657371538-HDFC ERGO,Insurance
LOAN EMI BAJAJ FINSERV EMI,Loan EMI
POS PURCHASE ATM AXIS,Cash Withdrawal
POS/571943/PROPERTY TAX,Tax
ECS-SLICE EMI,Loan EMI
ECS-SPICEJET,Travel
POS/366558/RELIANCE PETROL,Fuel
UPI-DR-506131705823-LATE PAYMENT FEE,Bank Charges
BILLDESK-KARNATAKA PT-944992,Tax
UPI/BIGBASKET/472152789281,Groceries
UPI-P2A-164728385985-GO FIRST,Travel
IMPS-PATANJALI AYURVED-82248568,Personal Care
UPI/PNB METLIFE,Insurance
BILLDESK-BWSSB-741453,Utilities
IMPS-HEALTHKART-69029093,Health
POS PURCHASE WHIRLPOOL,Electronics
POS/981945/DISH TV,Utilities
UPI/OUT/081982038943/newindia@oksbi/Payment,Insurance
UPI-P2A-540816079921-AMAZON PRIME VIDEO,Entertainment
ECS-CARE HEALTH,Insurance
ACH DR OLA CABS,Transport
RTGS/777026898493/GOOGLEPAY TRANSFER,Transfer
UPI/DR/480953755602/BASKIN ROBBINS,Food & Dining
ACH DR AIRBNB INDIA,Travel
UPI-DR-799168168177-NETFLIX INDIA,Subscriptions
POS 055232 FOREST ESSENTIALS,Personal Care
SUBSCRIPTION MICROSOFT 365,Subscriptions
AUTO DEBIT LENOVO,Electronics
ECS-HOUSING.COM,Rent
UPI/DR/918923927094/TOPPR,Education
UPI/OUT/375262635779/mumbaime@ibl/Payment,Transport
POS 388984 SUN DIRECT,Utilities
NEFT/276229790483/RELIANCE PETROL,Fuel
SELF TRANSFER 82308742,Transfer
ACH DR SPEED FUELS,Fuel
UPI/BASKIN ROBBINS/179614415724,Food & Dining
UPI/GREEN TRENDS,Personal Care
UPI/DR/643465112013/GST REFUND,Tax
IMPS/485428394906/SPEED FUELS,Fuel
ACH DR XIAOMI,Electronics
IMPS-DEBIT CARD ANNUAL FEE-99518548,Bank Charges
UPI-P2A-772667537402-AIR INDIA,Travel
UPI/KAYA SKIN CLINIC,Personal Care
UPI-P2A-707322126714-ATM AXIS,Cash Withdrawal
POS PURCHASE PAYTM MONEY,Investment
UPI/PAYROLL CREDIT/068791048434,Income
POS/241209/ZOMATO PRO,Subscriptions
UPI-P2A-137243958243-MY11CIRCLE,Entertainment
POS 562164 NARAYANA HEALTH,Health
NACH-NETFLIX INDIA-09547710,Subscriptions
NEFT/813386439365/ATM BOB,Cash Withdrawal
UPI/DR/740686173440/HDFC BANK,Income
BILLDESK-CHEQUE BOOK CHARGES-151294,Bank Charges
BILLDESK-KOTAK MF-027159,Investment
NACH-TDS PAYMENT-94110817,Tax
UPI/ATM KOTAK,Cash Withdrawal
NACH-NOKIA-63522875,Electronics
NEFT/909644562406/MINIMUM BALANCE CHARGE,Bank Charges
RTGS/499373250384/SONY,Electronics
NEFT/057502405805/BLACKBERRYS,Shopping
NACH-BESCOM-43926725,Utilities
UPI/OUT/284290720681/udemybus@okhdfcbank/Payment,Subscriptions
MANDATE-BOOKMYSHOW,Entertainment
BILLPAY BESCOM,Utilities
AUTO DEBIT BANGALORE METRO RAIL,Transport
BILLDESK-BHARAT PETROLEUM-284225,Fuel
BILLDESK-PNB METLIFE-357525,Insurance
NACH-UPSTOX-45134201,Investment
POS 635655 RAPIDO BIKE,Transport
BILLDESK-HDFC LIFE-562534,Insurance
ACH DR NIVA BUPA,Insurance
IMPS-MUTUAL FUND DIVIDEND-72039836,Interest Income
NEFT/566548857439/KARNATAKA PT,Tax
POS/043502/BIOTIQUE,Personal Care
MANDATE-BIGBASKET,Groceries
ACH DR FUND TRANSFER,Transfer
UPI-DR-776353125175-HOMIGO,Rent
ECS-KSEB,Utilities
UPI-P2A-575363700181-FAMILY TRANSFER,Transfer
HOUSE RENT MAGICBRICKS,Rent
IMPS-GAANA-76144032,Entertainment
ECS-NEFT TRANSFER,Transfer
POS PURCHASE STIPEND CREDIT,Income
UPI/DR/394632376434/LINKEDIN PREMIUM,Subscriptions
POS/519432/LOCKER RENT CHARGES,Bank Charges
UPI/ATM-NFS WITHDRAWAL/824047963239,Cash Withdrawal
UPI/OUT/431206859542/dunzodai@okaxis/Payment,Groceries
POS 846836 ZEE5,Entertainment
UPI-P2A-492160646099-ZEE5,Entertainment
ECS-MY11CIRCLE,Entertainment
UPI-P2A-637736322723-MXPLAYER,Entertainment
POS/377014/ETMONEY,Investment
NEFT SALARY CREDIT MPHASIS,Income
UPI/MONGINIS,Food & Dining
POS PURCHASE TATA CONSULTANCY,Income
NEFT/172712560696/WYNK MUSIC,Entertainment
ECS-OVEN STORY,Food & Dining
UPI/THOMAS COOK/010840118284,Travel
SALARY CREDIT COGNIZANT,Income
IMPS/416053607676/MICROSOFT INDIA,Income
POS/276372/NETFLIX,Entertainment
UPI/CLEARTRIP/438916901203,Travel
ECS-TATA CLIQ,Shopping
UPI/DR/319060137542/SHOPPERS STOP,Shopping
NACH-TECH MAHINDRA-10643514,Income
UPI-DR-528492055389-HOUSE RENT PAYMENT,Rent
UPI PAYMENT ATM KOTAK,Cash Withdrawal
UPI/MAX HEALTHCARE,Health
UPI/OUT/175874624170/bajajall@apl/Payment,Insurance
POS PURCHASE PSPCL,Utilities
ECS-RAPIDO,Transport
NACH-BLACKBERRYS-66631581,Shopping
AUTO DEBIT ATM ICICI,Cash Withdrawal
NACH-ATM ICICI-58346262,Cash Withdrawal
UPI/OUT/390047750032/maxhealt@ibl/Payment,Health
NSDL TIN 46056744,Tax
UPI PAYMENT PAYTM MALL,Shopping
UPI/DR/462905943611/FI TRANSFER,Transfer
UPI/DR/343845280215/TSRTC,Transport
ECS-SIMPLILEARN,Education
POS 075381 ATM-NFS WITHDRAWAL,Cash Withdrawal
POS/248131/KOTAK MF,Investment
NACH-MCGM PROPERTY TAX-39610214,Tax
RTGS/076309010201/UNITED INDIA INSURANCE,Insurance
UPI-P2A-632618756250-GULF OIL,Fuel
RTGS/420023769342/GST REFUND,Tax
ECS-RELIANCE INDUSTRIES,Income
NEFT/795288735097/STANZALIVING,Rent
UPI/METROPOLIS HEALTHCARE,Health
POS PURCHASE INCOME TAX PAYMENT,Tax
UPI PAYMENT UNION BANK INTEREST,Interest Income
ECS-FRANKLIN TEMPLETON,Investment
ECS-BOSCH,Electronics
NEFT-WINZO GAMES-42295499,Entertainment
IMPS-CAR LOAN EMI-59626921,Loan EMI
NACH-VLCC-34023266,Personal Care
BILLDESK-MCGM PROPERTY TAX-539216,Tax
ECS-BSES YAMUNA,Utilities
ACH DR JIOCINEMA,Entertainment
RTGS/338904598277/EDUCATION LOAN EMI,Loan EMI
NACH-LAKME SALON-22278684,Personal Care
UPI PAYMENT CARE HEALTH,Insurance
POS/825609/MOTOROLA,Electronics
BILLDESK-MONEYVIEW EMI-331159,Loan EMI
UPI-P2A-678405081338-YLG SALON,Personal Care
NEFT/691115267262/ZOMATO,Food & Dining
RTGS/328599520476/ATM BOB,Cash Withdrawal
AUTO DEBIT ETMONEY,Investment
UPI/OUT/939523885892/videocon@ibl/Payment,Utilities
NACH-BIBA-82885036,Shopping
ECS-INCOME TAX REFUND,Tax
IMPS-COLIVE-48935754,Rent
SALARY CREDIT INFOSYS LTD,Income
UPI-P2A-049280448483-CASH WITHDRAWAL BRANCH,Cash Withdrawal
POS/876021/SMALLCASE,Investment
EMI DEBIT HDFC BANK EMI,Loan EMI
ATM-NFS CASH WITHDRAWAL,Cash Withdrawal
MANDATE-KOTAK MAHINDRA EMI,Loan EMI
NACH-IMPS CHARGES-45628630,Bank Charges
IMPS/850600659957/NSDL TIN PAYMENT,Tax
ACH DR BOUNCE,Transport
SUBSCRIPTION SPOTIFY PREMIUM,Subscriptions
UPI/BLACKBERRYS/305758893968,Shopping
RTGS/464787471734/SHELL INDIA,Fuel
UPI-P2A-712981029030-SCRIPBOX,Investment
UPI-DR-094349828545-VISHAL MEGA MART,Groceries
POS PURCHASE COX AND KINGS,Travel
NEFT-BLINKIT-09059903,Groceries
MANDATE-SHELL INDIA,Fuel
MANDATE-HIMALAYA DRUG,Personal Care
MUTUAL FUND GROWW,Investment
DEMAT HDFC MUTUAL FUND,Investment
BILLDESK-STANZALIVING-021890,Rent
AUTO DEBIT JAWED HABIB,Personal Care
SALARY CREDIT WIPRO LTD,Income
UPI-DR-591721578465-PSPCL,Utilities
NEFT/706778976104/EPIC GAMES,Entertainment
IMPS/164751606420/WINZO GAMES,Entertainment
NEFT/223920259365/FUND TRANSFER,Transfer
RTGS/126707060634/HDFC ERGO,Insurance
UPI/HDFC ERGO,Insurance
BILLDESK-GST PAYMENT-958938,Tax
ACH DR ZEE5,Entertainment
NACH-STAR HEALTH-21611949,Insurance
AUTO DEBIT HDFC LIFE,Insurance
MANDATE-KUVERA,Investment
AUTO DEBIT BAJAJ FINSERV EMI,Loan EMI
NACH-PSPCL-14959965,Utilities
UPI/OUT/299089801670/minimumb@ibl/Payment,Bank Charges
IMPS/585901002407/DOCSAPP,Health
UPI/BLINKIT,Groceries
UPI-P2A-466306779385-SPICEJET,Travel
ACH DR NEFT CHARGES,Bank Charges
NEFT/972168521243/YULU BIKES,Transport
UPI/DR/440225188446/MICROSOFT 365,Subscriptions
UPI-P2A-071535141076-ATM HDFC,Cash Withdrawal
RTGS/436285702201/GREAT LEARNING,Education
UPI-DR-193367359056-TECH MAHINDRA,Income
NEFT/613023853986/ASUS,Electronics
MANDATE-CASH WITHDRAWAL BRANCH,Cash Withdrawal
ACH DR PRACTO,Health
IMPS/999214108223/BAJAJ ALLIANZ LIFE,Insurance
UPI-DR-636763565043-DEBIT CARD ANNUAL FEE,Bank Charges
IMPS/279210488608/AIR INDIA,Travel
IMPS/467953562357/FABINDIA,Shopping
AUTO DEBIT EASYDAY,Groceries
AUTO DEBIT ALLEN CAREER INSTITUTE,Education
AUTO DEBIT FISDOM,Investment
NEFT/152543061283/TATA NEU PLUS,Subscriptions
LOAN EMI LAZYPAY EMI,Loan EMI
NEFT-AIRTEL DTH-22808670,Utilities
IMPS/536309261723/MICRO ATM WITHDRAWAL,Cash Withdrawal
IMPS/700552466667/MOTILAL OSWAL MF,Investment
IMPS-INET/Fund Trf/APARTMENT MAINTENANCE,Rent
IMPS/968964376284/LIC OF INDIA,Insurance
UPI PAYMENT AMAZON PRIME,Subscriptions
UPI-P2A-186881849785-BOUNCE CHARGES,Bank Charges
UPI/OUT/339753480240/flatrent@okicici/Payment,Rent
IMPS-LOTUS HERBALS-31200300,Personal Care
UPI/CARNIVAL CINEMAS,Entertainment
UPI PAYMENT RESONANCE,Education
MANDATE-ZOLO STAYS,Rent
IMPS/685722133644/AKASA AIR,Travel
RTGS/994994670291/BLINKIT PASS,Subscriptions
SIP DEBIT MIRAE ASSET MF,Investment
IMPS-BAJAJ ELECTRICALS-66585469,Electronics
UPI/GOOGLE ONE,Subscriptions
AUTO DEBIT AKASA AIR,Travel
BILLDESK-SONY-571352,Electronics
BILLDESK-SOCIETY MAINTENANCE-977661,Rent
ECS-NATURALS SALON,Personal Care
IMPS/078472375463/CBSE BOARD FEES,Education
IMPS-BHARAT PETROLEUM-59114331,Fuel
UPI PAYMENT ROLLS MANIA,Food & Dining
ACH DR MXPLAYER,Entertainment
ECS-MSEDCL,Utilities
UPI/OUT/803262310660/atmkotak@oksbi/Payment,Cash Withdrawal
POS/260862/METROPOLIS HEALTHCARE,Health
POS PURCHASE ZOMATO PRO,Subscriptions
NEFT/287914204867/INDRAPRASTHA GAS,Utilities
PAYROLL TCS LTD,Income
SELF TRANSFER 80675474,Transfer
MANDATE-COGNIZANT,Income
RTGS SALARY CREDIT FREELANCE PAYMENT,Income
POLICY PREMIUM LIC OF INDIA,Insurance
UPI/INCOME TAX REFUND,Tax
NACH-ATM BOB-72563831,Cash Withdrawal
MANDATE-PPFAS MF,Investment
UPI/OUT/066478385444/rdintere@okicici/Payment,Interest Income
